Date,AAPL,MSFT,CSCO,OLED,AUDC,INTC,TAIT,QCOM,XLNX,BRKR,SPNS,UBNT,INTU,CY,AVGO,CDW,EQIX,TXN,ESLT,GRMN,ALOT,ADI,TER,FORTY,CERN,AMAT,TTEC,TESS,XPER,MANT,CSGS,AVT,KLAC,OTEX,NVDA,CONE,MTSC,NXPI,MXIM,JKHY,CGNX,PRGS,JCOM,AMSWA,KE,STX,CCMP,MCHP,TACT,CMTL,MLAB,RFIL,MPWR,SABR,FELE,LOGI,BLKB,DOX,KLIC,CTXS,POWI,MGIC,NTAP,GILT,EGOV,NATI,SWKS,IDCC,MNDO,SIMO,APWC,ATVI,LMNX,MKSI,HOLI,LFUS,WDC,CDK,WSTG,TYPE,CPSI,LOGM,AMOT,EBIX,SRCE,HIMX,SSNC,CTSH,BELFA,BELFB
2016-06-20,90.50701904296875,47.147132873535156,26.15354347229004,69.14302825927734,3.91504168510437,29.689027786254883,0.8275785446166992,48.07284927368164,43.76934051513672,23.98850440979004,11.902412414550781,39.69556427001953,104.20015716552734,9.223011016845703,145.08851623535156,39.6279182434082,351.23321533203125,57.38999938964844,87.84060668945312,37.275299072265625,14.618256568908691,53.22767639160156,18.99905014038086,30.346729278564453,53.61605453491211,22.596193313598633,26.24129867553711,10.634552955627441,28.421226501464844,34.32240676879883,38.5777587890625,40.588165283203125,67.99976348876953,28.53297996520996,46.984107971191406,47.027740478515625,42.24563217163086,84.40135192871094,35.31586456298828,80.73168182373047,21.01140785217285,25.113189697265625,61.57692337036133,8.64254379272461,12.270000457763672,19.668991088867188,41.45858383178711,49.075775146484375,6.4975714683532715,12.556957244873047,121.21403503417969,2.213693857192993,66.44108581542969,25.283727645874023,33.259864807128906,15.398465156555176,65.64231872558594,54.36997985839844,11.974093437194824,67.10289764404297,51.76093292236328,6.264920711517334,23.805387496948242,4.416722774505615,19.382902145385742,26.190271377563477,63.01527404785156,55.39522171020508,1.467396855354309,42.053741455078125,2.120880603790283,37.952457427978516,19.07378387451172,40.24302673339844,17.045143127441406,114.52713775634766,43.26184844970703,54.514122009277344,16.01415252685547,22.239341735839844,36.251487731933594,59.72147750854492,22.42708396911621,47.09062194824219,30.84166145324707,8.953636169433594,28.74483299255371,59.73964309692383,15.422828674316406,17.929546356201172
2016-06-21,91.27789306640625,48.20175552368164,26.126298904418945,67.21160125732422,3.8959903717041016,29.827463150024414,0.8275785446166992,48.063926696777344,43.93877029418945,23.644126892089844,12.076452255249023,39.45769119262695,104.73402404785156,9.087109565734863,144.0530242919922,39.92659378051758,356.49359130859375,57.41777420043945,86.75616455078125,37.26653289794922,14.191929817199707,53.480743408203125,19.213287353515625,30.346729278564453,54.67341613769531,22.78744888305664,26.17457389831543,10.46467113494873,28.33108901977539,34.45463562011719,38.34217834472656,40.815696716308594,68.19364929199219,28.987234115600586,46.69761276245117,47.48193359375,41.62025833129883,84.91558074951172,35.72618103027344,80.56761169433594,20.957395553588867,25.36240577697754,60.955970764160156,8.625272750854492,12.359999656677246,20.029966354370117,41.61238479614258,49.11362075805664,6.587317943572998,12.547897338867188,120.60169982910156,2.1771042346954346,66.29534912109375,24.707624435424805,32.833709716796875,15.445672035217285,65.77006530761719,54.054481506347656,12.042573928833008,67.18171691894531,52.01422882080078,6.367319583892822,23.814796447753906,4.378729343414307,19.475645065307617,26.115577697753906,62.54708480834961,54.919898986816406,1.467396855354309,42.38972473144531,2.0927274227142334,37.923030853271484,19.20035743713379,40.27213668823242,17.240280151367188,113.78611755371094,44.40677261352539,54.58211135864258,16.01415252685547,22.388032913208008,35.90693283081055,60.737117767333984,22.01140594482422,46.97235107421875,30.652626037597656,8.811666488647461,28.568424224853516,60.03200912475586,15.403572082519531,17.95840072631836
2016-06-22,90.93529510498047,48.01343536376953,26.080890655517578,66.85319519042969,3.9055161476135254,29.799772262573242,0.8275785446166992,48.20664978027344,43.69404602050781,23.87043571472168,12.047445297241211,39.41804504394531,103.32657623291016,8.960272789001465,143.43359375,39.859169006347656,356.6251220703125,57.43628692626953,87.07009887695312,37.082435607910156,14.191929817199707,53.28390884399414,19.310670852661133,30.71474266052246,55.14223861694336,22.921323776245117,26.136445999145508,10.558106422424316,28.502355575561523,34.605751037597656,38.44582748413086,40.63557052612305,68.59988403320312,28.93991470336914,46.6580924987793,47.66494369506836,41.76026153564453,84.96501922607422,35.449462890625,80.47109985351562,20.829727172851562,25.141944885253906,61.191184997558594,8.461230278015137,12.149999618530273,20.038358688354492,41.448974609375,48.810855865478516,6.650138854980469,12.321401596069336,119.95970916748047,2.1130712032318115,66.2370376586914,24.716915130615234,33.1823844909668,15.53064250946045,65.5833740234375,53.90151596069336,12.013224601745605,67.07925415039062,51.682987213134766,6.311465740203857,23.692520141601562,4.378729343414307,19.484922409057617,25.956851959228516,62.44198226928711,53.18016815185547,1.467396855354309,42.38038635253906,1.9801141023635864,37.58951187133789,19.17115020751953,40.29153060913086,17.23052215576172,113.8641128540039,43.934261322021484,53.90214920043945,16.01415252685547,22.499555587768555,35.385475158691406,60.96707534790039,21.66499900817871,47.021629333496094,30.595909118652344,8.830594062805176,28.48512077331543,60.148948669433594,15.740524291992188,18.112300872802734
2016-06-23,91.45873260498047,48.879722595214844,26.534950256347656,68.80452728271484,3.9626693725585938,30.445789337158203,0.8111907839775085,49.55366134643555,44.654144287109375,24.008188247680664,12.18281078338623,39.784767150878906,105.75321197509766,9.503867149353027,146.6510009765625,40.206016540527344,362.0545349121094,58.58389663696289,88.01184844970703,37.94155502319336,14.352987289428711,54.464874267578125,19.748886108398438,31.516813278198242,56.74822998046875,23.44725799560547,26.422405242919922,10.778950691223145,29.28657341003418,35.01187515258789,38.77564239501953,41.043243408203125,69.10769653320312,29.181238174438477,47.9028434753418,47.45448303222656,42.441650390625,86.38902282714844,36.15557861328125,81.42655944824219,21.016319274902344,25.649961471557617,61.859169006347656,8.910192489624023,12.550000190734863,20.55044174194336,42.41983413696289,49.9935188293457,6.847579002380371,12.257983207702637,121.82635498046875,1.9758589267730713,67.90827178955078,24.92133903503418,34.25747299194336,15.794994354248047,67.20453643798828,54.044921875,12.189314842224121,68.05656433105469,51.74144744873047,6.423172950744629,24.47317886352539,4.3692307472229,19.75387191772461,26.395689010620117,64.21920013427734,54.25442123413086,1.4815064668655396,42.977691650390625,2.167802572250366,38.17807388305664,19.472978591918945,41.55276870727539,18.04033660888672,116.33094024658203,46.169593811035156,54.42669677734375,15.730488777160645,22.93635368347168,35.97211837768555,62.988765716552734,21.932226181030273,47.90864562988281,31.40877914428711,8.84952449798584,28.950645446777344,61.104007720947266,16.077478408813477,18.602863311767578
2016-06-24,88.88912963867188,46.92115020751953,25.20002555847168,65.1009750366211,3.8864643573760986,29.11684226989746,0.8193846940994263,46.4939079284668,42.64922332763672,22.532272338867188,11.602676391601562,38.24848937988281,102.23945617675781,9.150530815124512,137.49801635742188,38.24050521850586,353.1495361328125,56.029537200927734,85.01532745361328,35.74116134643555,14.324565887451172,51.58744430541992,18.502405166625977,31.035572052001953,54.99261474609375,22.21369743347168,25.23091697692871,10.889373779296875,27.582923889160156,33.85016632080078,37.748531341552734,38.76780700683594,66.98416900634766,27.733301162719727,45.17625045776367,47.65579605102539,41.39623260498047,79.18003845214844,33.4932975769043,80.31670379638672,20.05879783630371,24.288862228393555,60.09982681274414,8.685713768005371,12.34000015258789,19.44232940673828,40.54540252685547,47.751190185546875,6.569368362426758,11.143620491027832,118.85355377197266,1.939268946647644,64.32290649414062,23.64832878112793,33.09521484375,14.765912055969238,65.21002960205078,52.25713348388672,11.69039535522461,63.48530578613281,49.00385665893555,6.209066867828369,23.250459671020508,4.283746242523193,19.522014617919922,25.49933624267578,58.868412017822266,51.54503631591797,1.4462324380874634,40.943138122558594,2.3179538249969482,36.275054931640625,18.995891571044922,39.57360076904297,16.479248046875,113.142578125,43.470848083496094,53.00847625732422,15.885217666625977,21.849016189575195,35.08748245239258,60.02808380126953,21.031578063964844,45.8290901184082,29.839757919311523,8.414146423339844,26.921939849853516,56.533382415771484,15.894561767578125,17.99687385559082
2016-06-27,87.59481048583984,45.602867126464844,24.800458908081055,62.751399993896484,3.7626311779022217,28.35085105895996,0.8275785446166992,45.61969757080078,41.26554489135742,21.60736846923828,11.051549911499023,35.90937042236328,101.12318420410156,8.380436897277832,132.7920684814453,37.85512161254883,348.6499938964844,54.669044494628906,84.4541015625,34.785606384277344,14.343515396118164,49.25364685058594,17.694143295288086,31.035572052001953,53.57615280151367,21.314821243286133,24.5922794342041,10.838410377502441,26.56433868408203,33.340145111083984,36.41989517211914,36.900047302246094,65.80235290527344,27.132354736328125,44.69219207763672,46.91460418701172,39.74413299560547,74.20594787597656,32.29097366333008,79.1875,19.0865478515625,23.234495162963867,56.487064361572266,8.797951698303223,12.039999961853027,17.51992416381836,39.19964599609375,45.53724670410156,6.703986167907715,10.273874282836914,117.73750305175781,1.939268946647644,61.505130767822266,23.508943557739258,30.451086044311523,14.171120643615723,62.41965866088867,52.22843933105469,11.318650245666504,60.70314407348633,46.188323974609375,6.050814628601074,21.5950870513916,4.046288013458252,18.900651931762695,24.220169067382812,55.4286003112793,49.78630065917969,1.4462324380874634,39.96318817138672,2.0458054542541504,35.460880279541016,18.489595413208008,38.389984130859375,16.3524112701416,110.18824005126953,38.3277587890625,51.52225875854492,15.773468971252441,21.560914993286133,35.245784759521484,55.82180404663086,21.65510368347168,44.74496841430664,29.055246353149414,8.130205154418945,25.92229461669922,54.06778335571289,14.460103988647461,16.65023422241211
2016-06-28,89.06995391845703,46.55391311645508,25.236351013183594,65.26026916503906,3.8578882217407227,28.784605026245117,0.8111907839775085,46.8418083190918,42.12211608886719,21.725440979003906,11.032211303710938,36.67255783081055,102.88008117675781,8.51797103881836,138.4687957763672,38.19233322143555,354.1640319824219,55.779640197753906,85.73831176757812,35.60089874267578,14.589834213256836,50.90324401855469,18.327123641967773,29.827743530273438,54.94274139404297,21.936386108398438,24.830577850341797,11.101725578308105,26.825748443603516,33.557376861572266,36.919307708740234,37.62060546875,66.46710968017578,27.42572784423828,45.344200134277344,48.56169509887695,40.8548698425293,75.62005615234375,32.85396957397461,81.5327377319336,19.90658187866211,23.73292350769043,57.060970306396484,8.702980041503906,12.050000190734863,18.91345977783203,39.54570007324219,46.700984954833984,6.865528583526611,10.636268615722656,117.0856704711914,1.9023305177688599,64.67298126220703,24.094345092773438,30.683536529541016,14.652618408203125,62.68492889404297,53.33662796020508,11.416478157043457,62.46070861816406,47.71786117553711,6.143903732299805,21.80200958251953,4.046288013458252,19.113956451416016,24.659006118774414,57.5784797668457,50.31867980957031,1.4603420495986938,41.73643112182617,2.224109411239624,36.47124099731445,18.70379638671875,39.71912384033203,16.362167358398438,113.52285766601562,40.081504821777344,52.250797271728516,15.859430313110352,21.923362731933594,35.422706604003906,58.61002731323242,22.308317184448242,45.562984466552734,29.34825325012207,8.470934867858887,26.72593116760254,54.57455062866211,14.440849304199219,16.54443359375
2016-06-29,89.8408432006836,47.58970642089844,25.663164138793945,65.8974380493164,3.91504168510437,29.46753692626953,0.8521600365638733,47.76955032348633,42.799835205078125,21.96158218383789,11.16757583618164,37.62406539916992,106.08324432373047,8.756364822387695,143.3041534423828,38.26941680908203,362.6087646484375,56.68662643432617,85.45292663574219,36.31975173950195,14.675100326538086,52.13106155395508,18.716644287109375,29.969284057617188,57.33675765991211,22.52926254272461,25.13559913635254,11.38202953338623,26.8527889251709,34.31296157836914,37.173728942871094,37.66801071166992,66.55020141601562,27.72856330871582,46.08511734008789,50.07152557373047,40.369503021240234,77.4494857788086,33.4360466003418,82.41096496582031,20.451631546020508,24.14508628845215,58.02061462402344,8.832489013671875,12.069999694824219,20.105520248413086,39.58414840698242,47.022674560546875,6.9552741050720215,11.225159645080566,118.89305114746094,1.939268946647644,65.22859191894531,24.605411529541016,31.061267852783203,14.954733848571777,64.74824523925781,54.44001770019531,11.524087905883789,63.54835891723633,47.78605651855469,6.181139945983887,23.015323638916016,4.046288013458252,19.698226928710938,24.948453903198242,58.983062744140625,51.659114837646484,1.4815064668655396,42.85636520385742,2.2053403854370117,37.29523468017578,19.36587905883789,40.175113677978516,16.342653274536133,113.68859100341797,41.910484313964844,53.03761291503906,15.464017868041992,22.464908599853516,36.549461364746094,60.459259033203125,23.179275512695312,46.08533477783203,29.830303192138672,8.575047492980957,27.50016975402832,55.63680648803711,14.440849304199219,16.832996368408203
2016-06-30,90.98287963867188,48.18292236328125,26.053647994995117,67.50031280517578,3.9912469387054443,30.27044105529785,0.8521600365638733,47.78738784790039,43.421077728271484,22.374845504760742,11.322278022766113,38.31786346435547,108.3351821899414,9.673258781433105,143.6739501953125,38.616268157958984,364.215087890625,57.98233413696289,86.51834869384766,37.1876335144043,14.419306755065918,53.08708953857422,19.17433738708496,29.99759292602539,58.4539680480957,22.921323776245117,25.860023498535156,11.798238754272461,27.618976593017578,35.72024154663086,37.984107971191406,38.40752410888672,67.63043975830078,27.993549346923828,46.44076156616211,50.931671142578125,40.920204162597656,77.46925354003906,34.05629348754883,84.22539520263672,21.16362953186035,26.320920944213867,59.431846618652344,9.048336029052734,12.449999809265137,20.449705123901367,40.699195861816406,48.02556610107422,7.197587013244629,11.632851600646973,121.48069763183594,2.0223803520202637,66.59320068359375,24.893461227416992,32.010440826416016,15.37014389038086,66.7132797241211,55.38029479980469,11.90561580657959,63.12275314331055,48.77977752685547,6.171831130981445,23.128190994262695,4.09377908706665,20.347412109375,25.5833683013916,60.4640998840332,52.93300247192383,1.5026710033416748,44.610931396484375,2.4587199687957764,38.874542236328125,19.69692039489746,41.77591323852539,16.947574615478516,115.2389144897461,43.43617630004883,53.90214920043945,15.524187088012695,22.997121810913086,37.17335891723633,60.77544403076172,23.020917892456055,47.20888900756836,30.61481475830078,7.817868709564209,27.519773483276367,55.78299331665039,15.0858736038208,17.102323532104492
2016-07-01,91.25886535644531,48.17350387573242,26.15354347229004,67.81890106201172,3.9817209243774414,30.22429847717285,0.8275785446166992,47.27892303466797,43.477542877197266,22.492916107177734,11.351284980773926,37.97096252441406,108.62638092041016,9.755781173706055,142.58302307128906,38.8282356262207,363.4166259765625,57.4825553894043,86.64203643798828,37.23146438598633,14.68457317352295,53.07771682739258,18.940622329711914,30.478836059570312,58.7631950378418,22.844820022583008,25.793298721313477,12.027578353881836,27.637008666992188,35.93746566772461,38.02179718017578,38.17998504638672,66.93798828125,27.898910522460938,46.094993591308594,50.291141510009766,41.20956039428711,77.1033935546875,33.87498474121094,84.1867904663086,21.16362953186035,26.618066787719727,59.57296371459961,9.056968688964844,12.220000267028809,20.17268180847168,40.8433837890625,47.70388412475586,7.036045074462891,11.641912460327148,123.44611358642578,2.003911018371582,65.89140319824219,24.958505630493164,32.349430084228516,15.285173416137695,66.12377166748047,55.121238708496094,11.95452880859375,63.3355598449707,48.799259185791016,6.190449237823486,22.846025466918945,4.046288013458252,20.301042556762695,25.630054473876953,59.81434631347656,52.3911247253418,1.4885611534118652,44.620269775390625,2.3836445808410645,38.854923248291016,19.93059539794922,41.31022644042969,16.947574615478516,113.64958953857422,42.71009826660156,54.25184631347656,15.902408599853516,22.88507843017578,37.64827346801758,60.478416442871094,22.03119659423828,47.00191879272461,30.331256866455078,7.079619407653809,27.941190719604492,55.7440071105957,15.162893295288086,17.275463104248047
