Symbol,alpha,beta,r-squared,share_ratio,treynor_ratio,f_test,1 Year,2 Year,3 Year,YTD
MSFT,19.814748718205273,1.3739463524799123,64.11385898115847,1.563935970240874,0.26797671850510524,1347.0896646817569,36.61908091880717,42.09942688462556,41.81856349396256,35.910181200350124
CSCO,11.454631644376015,1.2595570381831973,57.95534179969136,1.1667487237300576,0.19914420847770248,1039.3312631721315,35.05094487823668,38.49742950100927,30.08334894015121,34.366062908552664
MPWR,3.799480573170989,1.6133881245479231,47.49426504256428,0.6895695826504576,0.12585613967853057,682.0336077787264,-6.824283796365471,16.652364169678123,25.305480115878588,12.435370230690236
TXN,7.024910100925409,1.3336379338307893,47.4150047934208,0.8473151043429038,0.1514388122992103,679.8691047473231,1.4926918391785504,22.09159071768887,25.196454473650753,20.975973783656276
INTU,16.673323659809505,1.2237690228666391,46.3756999109411,1.2872541267030815,0.26284924066719356,652.078958136072,25.910057729270974,39.1469742975977,37.16667584125295,36.021901326965676
AAPL,11.614750661304877,1.2749793980396578,44.646466950029286,1.024878905633379,0.1955286865882491,608.153341358215,8.577046171577795,18.733969079404012,29.92950471257707,27.479941026021628
INTC,0.2430134555312886,1.330235300770737,40.71166081802295,0.5290170273038001,0.08689411957990742,517.7509216874927,-9.515439298580642,19.81498876414902,16.558962529458654,1.8110998898235309
AMAT,2.3112995309932103,1.6647460855627472,39.746755774427264,0.5827173500692204,0.11132377846422441,497.38490000176057,-9.221589557155486,1.0438182359962411,23.532582442837203,33.33276047888116
ADI,10.066973653534955,1.257403411938052,39.541213767696874,0.9097206045071992,0.1853871102763135,493.1305611443749,13.788577707565143,21.115761196357585,28.310638499077246,32.54443440936865
CCMP,15.45663685552617,1.4357097274437225,39.4737355676264,1.0458203194474847,0.2351520834978733,491.74018745605764,1.7649166621270806,23.77537143240471,38.76101337065552,17.0297792847504
JKHY,7.930429041123775,0.8042293405486572,39.26423729463689,0.9982767677793516,0.1849597714178475,487.44320646428645,6.86491127586768,16.250314781746322,19.875007499540587,10.217148869220516
CGNX,7.130642650104708,1.689398502722164,37.77474594481608,0.7055057771631648,0.15490905135232327,457.72667182896805,3.811548604940085,1.5385211329537185,31.170311941272576,21.813712649702268
MXIM,2.0299585361854646,1.2769174081296975,37.68464015978885,0.5771578449742601,0.10231193060763917,455.97455833265576,-0.6063000482687708,15.274089266548607,18.064388525225205,16.718879289777977
MCHP,1.9460821712885892,1.4383311223541362,36.83206182227356,0.5592504255505825,0.10833930400070828,439.643518771469,-13.94279404884784,4.678137675223293,20.58277927184047,20.00168601464758
MKSI,1.3987415374908458,1.671799938613107,35.22089803691163,0.5226908105325466,0.11151714397482429,409.9556232651002,-26.212716423585512,3.0129021894026886,23.643435445142025,18.46884112553928
NTAP,15.336362273363285,1.4693370140415003,34.752845826309795,0.966015894830906,0.22661973808504765,401.60595638060425,-18.03036544389012,29.870620498363245,38.298076928075076,6.315835590935692
TER,12.283741585039445,1.4896627279074734,33.91677638083348,0.8535656551659687,0.19297138065264147,386.9855008666871,18.92038515857326,20.225751534734183,33.74622733110853,47.86684301703708
CTXS,2.907192469127656,0.8979337452279985,33.372208594665,0.6182833806812028,0.10022641059135466,377.6599036173754,-7.593797445671546,11.558449518548276,13.999667623305424,-2.317206993091092
CDW,19.887590052334776,1.0398076168348513,33.12776691487836,1.337944240297744,0.33139577195906006,373.5232861451384,29.775315937206926,32.76284134832086,39.45878478698961,34.17538518555476
NVDA,9.10889141446427,1.9785567956553913,32.668733721796144,0.6733746909149744,0.2219895671091834,365.83635787357997,-41.033900011187065,-1.3765524477812652,48.92189665684734,15.681567325125311
SSNC,9.829231396102164,1.1874720422825045,32.45374741741573,0.8363676460508944,0.1870459594493106,362.272141194117,8.1882700003286,24.237226427158355,27.211184746796334,30.434097159721183
XLNX,15.645714869846564,1.4167369177026277,30.907753604195953,0.9376002281800578,0.23272855508913623,337.2946666701377,69.82726122036593,34.16634512767804,37.9715135798369,35.62728764413836
BRKR,9.88141958533391,1.1985985679683397,29.36781106927701,0.7941861296851621,0.18169676690844078,313.5019582637223,61.27809384831706,31.26318243387567,26.778148462093434,63.71169849286762
AVGO,7.082129024095973,1.2704641074315695,28.85772115040861,0.6740428789159956,0.1530203177199606,305.8479725313588,9.733407094120539,9.476023041037497,24.44068213709849,10.721518249981266
CY,11.004317325081441,1.5500225798308567,28.7382049497782,0.7371839001593083,0.19688253270632383,304.07045622218465,31.42008193450494,33.60884186281936,35.51723712690891,76.60959045854436
OTEX,2.598668914356878,0.8763473869267464,27.297166083692602,0.5479516092236156,0.08935703351309521,283.0984999951649,17.540492658657826,15.615187415721854,12.83078028227267,28.586478398188685
KLIC,4.44776131491345,1.4252352012432588,25.92338340734914,0.5402305710225357,0.12674492310468102,263.8650627987838,-3.1024240391143265,5.636392869816609,23.06413259876614,11.063502227550703
LOGI,17.253369259391377,1.2303602052819664,25.615457377071436,0.972607576823055,0.2569662929062927,259.65145689231446,-9.513576621873954,5.252514140657749,36.61611008907322,26.598457815979913
MANT,6.8050409524124635,1.0649487236014397,25.399498665180857,0.6648150006479931,0.170832640356025,256.7170682619488,20.597692770580167,31.759312929441165,23.19280022966126,24.875808667414102
GRMN,15.259400180669504,0.8936799417635662,24.951526406971674,1.080261387471575,0.2813467255893799,250.68399142769945,36.988390063487046,32.27345476694041,30.143392534008704,30.83713319606256
NATI,1.6774636031655206,1.0119869256157028,23.6824637031156,0.46014363736496705,0.10694081224873733,233.9773857830647,-5.681400704534578,3.394344137782812,15.822270381044579,-10.095289604117152
