Symbol,DM1,DM2,Total Score,Average,St. dev,Standard Consensus
TXN,15.846686368247749,15.776593894343067,31.623280262590818,15.811640131295409,0.049562863608141446,93.80464204898232
OTEX,19.54947674615801,19.64563453277399,39.195111278932,19.597555639466,0.067993822980048,91.500772127494
AMAT,8.26410749797787,8.134356198804905,16.398463696782777,8.199231848391388,0.09174802351296757,88.53149706087905
UBNT,39.53517781158204,39.400436075848,78.93561388743004,39.46780694371502,0.09527679504638474,88.09040061920192
AMSWA,13.482031253971574,13.697683715019481,27.179714968991057,13.589857484495528,0.1524893175865434,80.93883530168208
TTEC,25.59158908188539,25.354002716164352,50.94559179804975,25.472795899024874,0.16799893031881413,79.00013371014823
AVGO,21.650416872762264,21.382812548504408,43.03322942126667,21.516614710633334,0.18922483235757406,76.34689595530324
AAPL,112.50901338538901,112.19992011136077,224.70893349674978,112.35446674837489,0.21856195008452212,72.67975623943474
QCOM,34.44659622307978,34.07726308263026,68.52385930571003,34.26192965285502,0.26115796812877895,67.35525398390263
XLNX,46.71594212421731,46.301823328471976,93.01776545268928,46.50888272634464,0.2928262086883305,63.39672391395869
ESLT,29.88857302198092,29.430172961343096,59.31874598332402,29.65937299166201,0.32413779137333043,59.4827760783337
TER,21.410725805660277,20.91126323541078,42.321989041071056,21.160994520535528,0.3531733703722828,55.853328703464655
CSCO,49.41132865632438,48.85330586804377,98.26463452436815,49.132317262184074,0.39458169764984435,50.67728779376946
SSNC,27.80041435892281,28.41325450875933,56.213668867682145,28.106834433841072,0.4333434257327822,45.83207178340223
CDW,28.205470902556602,27.57366439879563,55.77913530135223,27.889567650676113,0.4467546632071483,44.15566709910646
MSFT,60.28773074754254,59.64647878939462,119.93420953693716,59.96710476846858,0.45343360805554556,43.32079899305681
MANT,20.554424409605943,19.860320318503575,40.41474472810952,20.20737236405476,0.49080570966780934,38.649286291523836
GRMN,28.150230997043355,27.373139221647037,55.52337021869039,27.761685109345194,0.5494868639870302,31.314142001621235
ADI,18.858795546505338,18.07753803303062,36.936333579535955,18.468166789767977,0.552432485630913,30.945939296135876
JKHY,12.306836949801001,13.091014726532016,25.39785167633302,12.69892583816651,0.5544974235822913,30.687822052213605
BRKR,45.368994565618365,44.5271576690202,89.89615223463856,44.94807611731928,0.5952685782376024,25.591427720299706
OLED,87.25142914004122,86.35346016133852,173.60488930137973,86.80244465068986,0.6349599541358426,20.630005733019672
