"Name,""Market Cap"",""P/E Ratio"",""Revenue"",""Average Vol. (3m)"",""EPS"",""Beta"",""Dividend"",""Yield"""
"MTS Systems,""996.83M"",""55.43"",""828.78M"",""99.97K"",""1.00"",""1.31"",""1.20"",""2.16%"""
"Cognex,""7.76B"",""35.00"",""810.25M"",""1.19M"",""1.28"",""1.99"",""0.20"",""0.45%"""
"Cabot,""3.10B"",""26.79"",""794.34M"",""246.13K"",""3.99"",""1.41"",""1.68"",""1.57%"""
"Kimball,""615.83M"",""16.77"",""757.01M"",""98.65K"",""1.00"",""0.88"",""0.32"",""1.91%"""
"Kulicke&Soffa,""1.43B"",""14.58"",""726.77M"",""384.21K"",""1.48"",""1.31"",""0.48"",""2.22%"""
"Himax,""580.13M"",""140.53"",""724.09M"",""1.24M"",""0.02"",""0.02"",""0.48"",""10.09%"""
"Comtech,""681.41M"",""45.73"",""662.86M"",""168.75K"",""0.62"",""1.47"",""0.40"",""1.41%"""
"TESSCO,""156.81M"",""28.41"",""606.81M"",""46.33K"",""0.65"",""1.32"",""0.80"",""4.34%"""
"Monolithic,""5.57B"",""53.67"",""594.59M"",""295.46K"",""2.43"",""1.65"",""1.60"",""1.23%"""
"Hollysys Automation Tech,""1.13B"",""9.04"",""560.59M"",""326.81K"",""2.08"",""1.41"",""0.18"",""0.96%"""
"Bel Fuse B,""208.37M"",""9.07"",""555.32M"",""24.96K"",""1.69"",""1.90"",""0.28"",""1.56%"""
"Bel Fuse A,""188.04M"",""9.07"",""555.32M"",""1.13K"",""1.69"",""1.90"",""0.24"",""1.56%"""
"Ebix,""1.44B"",""15.72"",""532.52M"",""293.94K"",""3.02"",""1.48"",""0.30"",""0.63%"""
"Silicon Motion,""1.53B"",""15.43"",""530.35M"",""306.15K"",""2.71"",""0.94"",""1.20"",""2.87%"""
"Asia Pacific Wire & Cable,""30.40M"",""10.38"",""425.95M"",""2.64K"",""0.21"",""1.46"",""0.08"",""3.64%"""
"Power Integrations,""2.11B"",""40.72"",""402.06M"",""122.95K"",""1.78"",""1.20"",""0.68"",""0.94%"""
"Luminex,""963.86M"",""244.69"",""398.22M"",""274.43K"",""0.09"",""0.79"",""0.24"",""1.12%"""
"Xperi,""977.80M"",""418.56"",""397.16M"",""413.01K"",""0.05"",""0.34"",""0.80"",""4.02%"""
"Progress,""1.84B"",""31.78"",""392.66M"",""461.37K"",""1.31"",""0.73"",""0.62"",""1.49%"""
