"Name,""15 Minutes"",""Hourly"",""Daily"",""Weekly"",""Monthly"""
"Ebix,""Strong Sell"",""Strong Sell"",""Strong Sell"",""Strong Sell"",""Strong Sell"""
"Silicon Motion,""Strong Sell"",""Buy"",""Strong Buy"",""Buy"",""Neutral"""
"Asia Pacific Wire & Cable,""Neutral"",""Sell"",""Strong Sell"",""Strong Sell"",""Strong Sell"""
"Power Integrations,""Sell"",""Strong Buy"",""Strong Buy"",""Neutral"",""Strong Buy"""
"Luminex,""Neutral"",""Neutral"",""Strong Sell"",""Strong Sell"",""Sell"""
"Xperi,""Strong Buy"",""Buy"",""Strong Sell"",""Strong Sell"",""Sell"""
"Progress,""Strong Sell"",""Sell"",""Neutral"",""Neutral"",""Strong Buy"""
"Computer Programs&Systems,""Buy"",""Sell"",""Strong Sell"",""Strong Sell"",""Strong Sell"""
"NIC,""Strong Sell"",""Strong Sell"",""Strong Sell"",""Strong Sell"",""Buy"""
"Universal Display,""Neutral"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"Allied Motion,""Strong Buy"",""Strong Buy"",""Neutral"",""Strong Sell"",""Sell"""
"Monotype,""Sell"",""Neutral"",""Neutral"",""Strong Sell"",""Strong Sell"""
"Sapiens,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"InterDigital,""Strong Sell"",""Sell"",""Strong Sell"",""Strong Sell"",""Strong Sell"""
"Magic,""Strong Buy"",""Buy"",""Strong Sell"",""Strong Sell"",""Buy"""
"Gilat,""Strong Buy"",""Strong Buy"",""Neutral"",""Neutral"",""Neutral"""
"Wayside,""Strong Sell"",""Strong Sell"",""Strong Sell"",""Strong Sell"",""Strong Sell"""
"AudioCodes,""Strong Sell"",""Sell"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"AstroNova,""Strong Buy"",""Strong Buy"",""Neutral"",""Strong Buy"",""Strong Buy"""
"American Software,""Buy"",""Neutral"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"Mesa Labs,""Strong Buy"",""Sell"",""Strong Sell"",""Strong Sell"",""Strong Buy"""
"TransAct,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Neutral"""
"RF Industries,""Neutral"",""Sell"",""Sell"",""Buy"",""Strong Buy"""
"Simulations Plus,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"NVE Corporation,""Strong Buy"",""Strong Buy"",""Neutral"",""Strong Sell"",""Strong Sell"""
"MIND CTI,""Strong Buy"",""Strong Buy"",""Sell"",""Strong Sell"",""Strong Sell"""
"Taitron,""Strong Sell"",""Strong Sell"",""Sell"",""Buy"",""Strong Buy"""
